ID,clip_item,emotional_rating,rating_RT
101,A Streetcar Named Desire (1951) 30-4,35,1600
101,A Streetcar Named Desire (1951) 30-2,23,1000
101,A Streetcar Named Desire (1951) 30-4,59,1216
101,A Streetcar Named Desire (1951) 30-2,54,933
101,Amores Perros (2000) 30-1,100,933
101,Amores Perros (2000) 30-1,66,1316
101,Amores Perros (2000) 30-3,100,833
101,Amores Perros (2000) 30-1,47,1033
101,Bonnie and Clyde (1967) 30-1,39,1200
101,Bonnie and Clyde (1967) 30-1,64,3467
101,Bonnie and Clyde (1967) 30-1,52,1533
101,Bonnie and Clyde (1967) 30-2,41,766
101,Boyz N The Hood (1991) 30-2,57,2049
101,Boyz N The Hood (1991) 30-1,59,683
101,Boyz N The Hood (1991) 30-1,84,2050
101,Boyz N The Hood (1991) 30-2,53,766
101,Climates (2006) 30-1,53,1166
101,Climates (2006) 30-1_2,60,1683
101,Climates (2006) 30-1,68,1066
101,Climates (2006) 30-2,24,1583
101,Come and See (1985) 30-1,71,866
101,Come and See (1985) 30-5,94,2111
101,Come and See (1985) 30-1,74,1933
101,Come and See (1985) 30-2,40,1116
101,Come and See (1985) 30-1,50,483
101,Come and See (1985) 30-2,68,1333
101,Come and See (1985) 30-1,59,1033
101,Come and See (1985) 30-2,62,2233
101,Dangerous Liaisons (1988) 30-4,76,1183
101,Dangerous Liaisons (1988) 30-1,41,2483
101,Dangerous Liaisons (1988) 30-4,33,983
101,Dangerous Liaisons (1988) 30-1,2,1607
101,Gaslight (1944) 30-2,31,1966
101,Gaslight (1944) 30-3,44,1816
101,Gaslight (1944) 30-1,38,1033
101,Gaslight (1944) 30-2,65,1100
101,Goldfinger (1964) 30-1,60,833
101,Goldfinger (1964) 30-1,64,2050
101,Goldfinger (1964) 30-2,49,899
101,Goldfinger (1964) 30-1,14,1250
101,I Am Camera (1955) 30-1,45,699
101,I Am Camera (1955) 30-1,49,949
101,I Am Camera (1955) 30-1,80,2066
101,I Am Camera (1955) 30-1,31,1531
101,Menace II Society (1993) 30-1,62,2130
101,Menace II Society (1993) 30-2,64,1730
101,Menace II Society (1993) 30-1,66,1566
101,Menace II Society (1993) 30-2,29,1116
101,Menace II Society (1993) 30-1,88,1700
101,Menace II Society (1993) 30-3,66,1783
101,Menace II Society (1993) 30-1,32,1016
101,Menace II Society (1993) 30-2,29,1750
101,Niagara (1953) 30-3,27,1733
101,Niagara (1953) 30-1,26,1099
101,Niagara (1953) 30-1,31,1066
101,Niagara (1953) 30-1,46,2400
101,Notting Hill (1999) 30-2,64,1550
101,Notting Hill (1999) 30-1,26,1333
101,Notting Hill (1999) 30-1,52,766
101,Notting Hill (1999) 30-1,36,1000
101,Sissi (1955) 30-2,20,1766
101,Sissi (1955) 30-1,28,1116
101,Sissi (1955) 30-1,47,2083
101,Sissi (1955) 30-1,37,1750
101,The Freshman (1925) 30-1,44,1066
101,The Freshman (1925) 30-2,57,866
101,The Freshman (1925) 30-2,57,1466
101,The Freshman (1925) 30-1,59,1316
101,The Sound Of Music (1965) 30-2,47,733
101,The Sound Of Music (1965) 30-1,38,1600
101,The Sound Of Music (1965) 30-3,67,883
101,The Sound Of Music (1965) 30-3,54,2133
101,Titanic (1997) 30-2,95,1550
101,Titanic (1997) 30-1,20,1300
101,Titanic (1997) 30-1,30,916
101,Titanic (1997) 30-1,58,1150
101,Twin Peaks (2017) 30-1,35,1183
101,Twin Peaks (2017) 30-1,53,1900
101,Twin Peaks (2017) 30-1,72,1816
101,Twin Peaks (2017) 30-2,59,1116
102,A Streetcar Named Desire (1951) 30-4,44,783
102,A Streetcar Named Desire (1951) 30-2,61,1350
102,A Streetcar Named Desire (1951) 30-4,85,1049
102,A Streetcar Named Desire (1951) 30-2,58,649
102,Amores Perros (2000) 30-1,87,749
102,Amores Perros (2000) 30-1,81,1100
102,Amores Perros (2000) 30-3,86,1348
102,Amores Perros (2000) 30-1,61,949
102,Bonnie and Clyde (1967) 30-1,70,983
102,Bonnie and Clyde (1967) 30-1,75,950
102,Bonnie and Clyde (1967) 30-1,59,633
102,Bonnie and Clyde (1967) 30-2,29,749
102,Boyz N The Hood (1991) 30-2,82,1049
102,Boyz N The Hood (1991) 30-1,68,1149
102,Boyz N The Hood (1991) 30-1,90,1066
102,Boyz N The Hood (1991) 30-2,75,1806
102,Climates (2006) 30-1,76,1150
